"","new_hosp","new_diag","curr_ivl","new_dead","date"
"1",827,2424,NA,NA,2020-10-01
"2",952,2704,242,NA,2020-10-02
"3",896,2884,245,NA,2020-10-03
"4",884,3327,247,NA,2020-10-04
"5",771,3537,251,NA,2020-10-05
"6",1049,4082,253,NA,2020-10-06
"7",1035,3229,264,NA,2020-10-07
"8",1008,3323,255,NA,2020-10-08
"9",1001,3701,250,NA,2020-10-09
"10",1047,4105,263,NA,2020-10-10
"11",994,4501,275,NA,2020-10-11
"12",917,4395,275,NA,2020-10-12
"13",1258,4618,297,NA,2020-10-13
"14",1206,4573,306,NA,2020-10-14
"15",1196,3942,319,NA,2020-10-15
"16",1140,5049,318,NA,2020-10-16
"17",1249,4648,318,NA,2020-10-17
"18",1020,4610,333,NA,2020-10-18
"19",988,5376,327,NA,2020-10-19
"20",1245,4999,323,NA,2020-10-20
"21",1215,4389,383,NA,2020-10-21
"22",1231,4413,343,NA,2020-10-22
"23",1240,5478,346,NA,2020-10-23
"24",1339,4453,299,NA,2020-10-24
"25",1072,4455,312,NA,2020-10-25
"26",959,5224,322,NA,2020-10-26
"27",1267,4312,304,NA,2020-10-27
"28",1202,3670,323,NA,2020-10-28
"29",1166,4906,342,NA,2020-10-29
"30",1274,5268,339,NA,2020-10-30
"31",1131,5261,NA,NA,2020-11-01
"32",1355,5150,367,NA,2020-11-03
"33",1453,5826,367,NA,2020-11-04
"34",1143,5255,364,NA,2020-11-05
"35",1415,6253,359,NA,2020-11-06
"36",1414,5829,367,NA,2020-11-07
"37",1175,5751,354,NA,2020-11-08
"38",1104,6897,349,NA,2020-11-09
"39",1522,5902,381,NA,2020-11-10
"40",1366,4477,361,NA,2020-11-11
"41",1426,5997,371,NA,2020-11-12
"42",1458,5974,372,NA,2020-11-13
"43",1480,6427,385,NA,2020-11-14
"44",1219,6271,379,NA,2020-11-15
"45",1217,6360,373,NA,2020-11-16
"46",1444,5882,390,NA,2020-11-17
"47",1351,4174,413,NA,2020-11-18
"48",1467,6438,410,NA,2020-11-19
"49",1489,6902,423,NA,2020-11-20
"50",1535,7168,419,NA,2020-11-21
"51",1358,6575,426,NA,2020-11-22
"52",1341,6866,429,NA,2020-11-23
"53",1648,5838,429,NA,2020-11-24
"54",1635,4685,440,NA,2020-11-25
"55",1759,6075,437,NA,2020-11-26
"56",1549,7918,421,NA,2020-11-27
"57",1518,7320,419,NA,2020-11-28
"58",1295,6798,411,NA,2020-11-29
"59",1329,6511,396,NA,2020-11-30
"60",1376,6524,431,NA,2020-12-01
"61",1570,5191,425,NA,2020-12-02
"62",1606,7750,451,NA,2020-12-03
"63",1300,6868,451,NA,2020-12-04
"64",1651,7993,456,NA,2020-12-05
"65",1404,7512,462,NA,2020-12-06
"66",1253,7279,468,NA,2020-12-07
"67",1705,5232,515,NA,2020-12-08
"68",1656,5145,451,NA,2020-12-09
"69",1663,6730,493,NA,2020-12-10
"70",1612,7215,444,NA,2020-12-11
"71",1684,6622,475,NA,2020-12-12
"72",1463,6425,447,NA,2020-12-13
"73",1370,5874,449,NA,2020-12-14
"74",1773,5418,419,NA,2020-12-15
"75",1732,5028,456,NA,2020-12-16
"76",1756,6711,474,NA,2020-12-17
"77",1784,6937,483,NA,2020-12-18
"78",1736,6459,501,NA,2020-12-19
"79",1574,7263,489,NA,2020-12-20
"80",1585,7797,487,NA,2020-12-21
"81",1844,7237,500,NA,2020-12-22
"82",1943,5652,509,NA,2020-12-23
"83",1772,8203,504,NA,2020-12-24
"84",1923,7315,541,NA,2020-12-25
"85",1774,7480,569,NA,2020-12-26
"86",1798,6620,552,NA,2020-12-27
"87",1412,6253,534,NA,2020-12-28
"88",1865,5641,539,NA,2020-12-29
"89",1726,5105,519,NA,2020-12-30
"90",1697,6566,560,NA,2020-12-31
"91",1711,5001,NA,72,2021-01-12
"92",1694,4320,NA,76,2021-01-13
"93",1591,5893,NA,68,2021-01-14
"94",1522,5534,NA,81,2021-01-15
"95",1352,4674,NA,79,2021-01-16
"96",1340,4012,NA,67,2021-01-17
"97",1042,3679,NA,73,2021-01-18
"98",1233,3115,NA,84,2021-01-19
"99",1234,2452,NA,65,2021-01-20
"100",1153,3458,NA,69,2021-01-21
"101",1097,3037,NA,72,2021-01-22
