"","new_hosp","new_diag","curr_ivl","new_dead","date"
"1",1648,5838,429,NA,2020-11-24
"2",1635,4685,440,NA,2020-11-25
"3",1759,6075,437,NA,2020-11-26
"4",1518,7320,419,NA,2020-11-28
"5",1376,6524,431,NA,2020-12-01
"6",1570,5191,425,NA,2020-12-02
"7",1651,7993,456,NA,2020-12-05
"8",1404,7512,462,NA,2020-12-06
"9",1253,7279,468,NA,2020-12-07
"10",1656,5145,451,NA,2020-12-09
"11",1663,6730,493,NA,2020-12-10
"12",1612,7215,444,NA,2020-12-11
"13",1684,6622,475,NA,2020-12-12
"14",1463,6425,447,NA,2020-12-13
"15",1370,5874,449,NA,2020-12-14
"16",1773,5418,419,NA,2020-12-15
"17",1756,6711,474,NA,2020-12-17
"18",1784,6937,483,NA,2020-12-18
"19",1574,7263,489,NA,2020-12-20
"20",1585,7797,487,NA,2020-12-21
"21",1772,8203,504,NA,2020-12-24
"22",1923,7315,541,NA,2020-12-25
"23",1798,6620,552,NA,2020-12-27
"24",1412,6253,534,NA,2020-12-28
"25",1726,5105,519,NA,2020-12-30
"26",1697,6566,560,NA,2020-12-31
"27",1711,5001,NA,72,2021-01-12
"28",1694,4320,NA,76,2021-01-13
"29",1591,5893,NA,68,2021-01-14
"30",1522,5534,NA,81,2021-01-15
"31",1352,4674,NA,79,2021-01-16
"32",1340,4012,NA,67,2021-01-17
"33",1042,3679,NA,73,2021-01-18
"34",1233,3115,NA,84,2021-01-19
"35",1234,2452,NA,65,2021-01-20
"36",1097,3037,NA,72,2021-01-22
"37",1144,2668,NA,64,2021-01-23
"38",986,3069,NA,74,2021-01-24
"39",857,2382,NA,61,2021-01-25
"40",1187,2317,NA,70,2021-01-26
"41",1036,1837,NA,75,2021-01-27
"42",1063,2897,NA,62,2021-01-28
"43",1042,2799,NA,63,2021-01-29
"44",1099,2430,NA,68,2021-01-30
"45",715,2037,NA,61,2021-02-01
"46",997,1701,NA,74,2021-02-02
"47",846,1545,NA,65,2021-02-03
"48",908,2095,NA,67,2021-02-04
"49",962,2032,NA,71,2021-02-05
"50",903,2214,NA,60,2021-02-06
"51",761,2028,NA,64,2021-02-07
"52",622,1728,NA,62,2021-02-08
"53",811,1584,NA,73,2021-02-09
"54",807,2040,NA,61,2021-02-11
"55",737,1963,NA,67,2021-02-13
"56",685,1559,NA,58,2021-02-14
"57",663,1818,NA,56,2021-02-15
"58",762,1409,NA,60,2021-02-16
"59",831,1623,NA,58,2021-02-20
"60",773,1602,NA,52,2021-02-21
"61",649,1723,NA,41,2021-02-22
"62",682,1198,NA,49,2021-02-23
"63",551,1417,NA,43,2021-02-24
"64",787,1825,NA,41,2021-02-27
"65",710,1737,NA,48,2021-02-28
"66",714,2097,NA,42,2021-03-01
"67",803,1277,NA,49,2021-03-02
"68",853,1284,NA,46,2021-03-03
"69",775,2150,NA,51,2021-03-04
"70",761,1757,NA,54,2021-03-05
"71",701,1820,NA,50,2021-03-06
"72",629,1534,NA,47,2021-03-07
"73",597,1066,NA,49,2021-03-09
"74",796,1116,NA,51,2021-03-10
"75",722,1610,NA,56,2021-03-12
"76",678,1905,NA,55,2021-03-14
"77",626,1353,NA,51,2021-03-15
"78",736,1533,NA,57,2021-03-16
"79",687,1201,NA,53,2021-03-17
"80",750,1934,NA,48,2021-03-18
"81",716,1809,NA,51,2021-03-19
"82",740,1728,NA,54,2021-03-20
"83",692,1511,NA,50,2021-03-21
